1º	1100051551
2°	1263234652
3°	6869869436

-------------------------------------------------------------
04/03

NOME PRODUTO;CATEGORIA;UNIDADE
FITA ADESIVA 0,045 X 100 M ; FITAS E FIXAÇÃO ; ROLO ; 3
FITA ADESIVA 0,045 X 40 M ; FITAS E FIXAÇÃO ; ROLO ; 7
FILME PVC PLÁSTICO 0,28 X 100 M ; EMBALAGEM E PROTEÇÃO ; ROLO ; 3
FITA CREPE 0,018 X 50 M ; FITAS E FIXAÇÃO ; ROLO ; 14
FITA CREPE 0,024 X 50 M ; FITAS E FIXAÇÃO ; ROLO ; 1
FITA CREPE 0,048 X 50 M ; FITAS E FIXAÇÃO ; ROLO ; 5
ADESIVO VINIL PRETO 0,05 X 0,175 M ; ADESIVOS E VINIS ; UNIDADE ; 10
FIO NÁUTICO 0,003 X 500 M PRETO ; ESTRUTURA E FERRAGENS ; ROLO ; 1
CORDÃO TRANÇADO 0,006 X 20 M BRANCO ; ESTRUTURA E FERRAGENS ; ROLO ; 1
FIO DE NYLON 0,0007 X 100 M ; ESTRUTURA E FERRAGENS ; ROLO ; 1
FIO DE NYLON 0,00035 X 100 M ; ESTRUTURA E FERRAGENS ; ROLO ; 3
FIO DE NYLON 0,000285 X 100 M ; ESTRUTURA E FERRAGENS ; ROLO ; 3
FIO DE NYLON 0,008 X 100 M BRANCO ; ESTRUTURA E FERRAGENS ; ROLO ; 2
FIO DE NYLON 0,008 X 100 M CINZA ; ESTRUTURA E FERRAGENS ; ROLO ; 1
FIO NÍQUEL CROMO 0,00025 X 10 M ; FERRAMENTAS E EQUIPAMENTOS ; ROLO ; 1
LINHA DE COSTURA 0,00015 X 91 M LARANJA ; ESTRUTURA E FERRAGENS ; ROLO ; 1
FIO DE NYLON 0,0008 X 100 M ; ESTRUTURA E FERRAGENS ; ROLO ; 4
SUPORTE PAINEL LED 0,075 X 0,085 M ; ESTRUTURA E FERRAGENS ; UNIDADE ; 210
LUVA PVC PRETA ROSCA 2 POL ; ELÉTRICO / ILUMINAÇÃO ; UNIDADE ; 10
SUPORTE FIXO TV 10–71 POL ; ESTRUTURA E FERRAGENS ; UNIDADE ; 13
SUPORTE FIXO TV 10–100 POL ; ESTRUTURA E FERRAGENS ; UNIDADE ; 2
SUPORTE PÉ BASE TV 55 POL ; ESTRUTURA E FERRAGENS ; UNIDADE ; 1
FECHADURA PORTA DE ENROLAR ; ESTRUTURA E FERRAGENS ; UNIDADE ; 1
TRAVA MAGNÉTICA 180 KGF ; ELÉTRICO / ILUMINAÇÃO ; UNIDADE ; 1
FECHADURA LATERAL TETRA ; ESTRUTURA E FERRAGENS ; UNIDADE ; 1
ROLO VINIL ADESIVO BRILHANTE 0,20 X 50 M ; ADESIVOS E VINIS ; ROLO ; 1
LUVA RASPA CANO CURTO ; EPI E CONSUMÍVEIS ; PAR ; 3
ÓCULOS DE PROTEÇÃO TRANSPARENTE ; EPI E CONSUMÍVEIS ; UNIDADE ; 7
ÓCULOS DE PROTEÇÃO PRETO ; EPI E CONSUMÍVEIS ; UNIDADE ; 1
ÓCULOS DE PROTEÇÃO AMPLA VISÃO ; EPI E CONSUMÍVEIS ; UNIDADE ; 3
RESPIRADOR DESCARTÁVEL COM VÁLVULA ; EPI E CONSUMÍVEIS ; UNIDADE ; 75
PROTETOR AURICULAR PLUG SILICONE 18 DB ; EPI E CONSUMÍVEIS ; PAR ; 46
LUVA VINIL TRANSPARENTE ; EPI E CONSUMÍVEIS ; UNIDADE ; 3
PISTÃO A GÁS OLHAL 1000 N 0,28 M ; ESTRUTURA E FERRAGENS ; UNIDADE ; 2
REGISTRADOR DE PONTO BIOMÉTRICO RECONHECIMENTO FACIAL IN633 ; EQUIPAMENTOS E MÁQUINAS ; UNIDADE ; 1
GRAMPO MULTIUSO MOLA NYLON 4 POL ; ESTRUTURA E FERRAGENS ; UNIDADE ; 3
GRAMPO MULTIUSO MOLA NYLON 3 POL ; ESTRUTURA E FERRAGENS ; UNIDADE ; 8
GRAMPO MULTIUSO MOLA NYLON 2 POL ; ESTRUTURA E FERRAGENS ; UNIDADE ; 2
GRAMPO MULTIUSO MOLA 0,09 M ; ESTRUTURA E FERRAGENS ; UNIDADE ; 2
ACOPLAMENTO EIXO FLEXÍVEL MICRO RETÍFICA DREMEL ; FERRAMENTAS E EQUIPAMENTOS ; UNIDADE ; 4
MICRO RETÍFICA DREMEL 300 ; FERRAMENTAS E EQUIPAMENTOS ; UNIDADE ; 1
MICRO RETÍFICA ; FERRAMENTAS E EQUIPAMENTOS ; UNIDADE ; 1
KIT RETÍFICA DREMEL ; FERRAMENTAS E EQUIPAMENTOS ; UNIDADE ; 1
KIT RETÍFICA ; FERRAMENTAS E EQUIPAMENTOS ; UNIDADE ; 1
KIT MICRO RETÍFICA 180 W 110 V 113 PEÇAS BLACK+DECKER RT18KA ; FERRAMENTAS E EQUIPAMENTOS ; UNIDADE ; 1

-------------------------------------------------------------

DIEGO
	FRESA 12,7 X 80 X 6 X 30	3 UNIDS
